address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,type,ContainBakeries
420 Chartiers Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating: False', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",SgEeVAVCVpDKvGem7g8fEQ,"['Coffee & Tea', 'Ice Cream & Frozen Yogurt', 'Cafes', 'Restaurants', 'Food', 'Bakeries']",McKees Rocks,"['Monday 7:0-18:0', 'Tuesday 7:0-18:0', 'Wednesday 7:0-18:0', 'Thursday 7:0-18:0', 'Friday 7:0-18:0', 'Saturday 8:0-15:0']",1,40.464967,-80.058404,Renewal Coffee Shop,,15136,4,5.0,PA,business,1
285 Fort Couch Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', 'GoodForKids: True', 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: True', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",fjtmOAoiJdMCFFzrkEJESg,"['Diners', 'Food', 'Bakeries', 'Restaurants']",Pittsburgh,,1,40.3413412219,-80.0543103879,Eat N Park,,15241,3,3.5,PA,business,1
422 Beaver St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False']",xJ1FlujuLnXYOzqWga66Tg,"['Breakfast & Brunch', 'Sandwiches', 'Bagels', 'Food', 'Bakeries', 'Restaurants']",Sewickley,"['Monday 5:30-19:0', 'Tuesday 5:30-19:0', 'Wednesday 5:30-19:0', 'Thursday 5:30-19:0', 'Friday 5:30-19:0', 'Saturday 6:0-18:0', 'Sunday 6:0-17:0']",1,40.540608,-80.181178,Bruegger's Bagels,Sewickley,15143,3,2.5,PA,business,1
1231 Grove Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",h5XqYtEmRuQ6yI0IyG6oNQ,"['Bakeries', 'Food']",Pittsburgh,"['Monday 8:0-17:0', 'Tuesday 8:0-17:0', 'Wednesday 8:0-17:0', 'Thursday 8:0-18:0', 'Friday 8:0-18:0', 'Saturday 8:0-15:0', 'Sunday 8:0-15:0']",1,40.3659582,-80.0132463,Cibrone M & Sons Bakery,,15234,6,4.5,PA,business,1
417 Lincoln Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",DtIcA3yhAPrntUBfRJNwuw,"['Desserts', 'Local Flavor', 'Bakeries', 'Food']",Bellevue,"['Monday 8:0-17:0', 'Tuesday 8:0-17:0', 'Wednesday 8:0-17:0', 'Thursday 8:0-17:0', 'Friday 8:0-17:0', 'Saturday 8:0-17:0']",1,40.494156413,-80.0530002899,Good L'Oven Cookie Shop,Bellevue,15202,15,5.0,PA,business,1
"4401 Penn Ave, Fl 3","['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: quiet', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WiFi: free']",LZY382ncwmmYLVKUjB1SFg,"['Bakeries', 'Restaurants', 'Food', 'Coffee & Tea', 'Sandwiches']",Pittsburgh,,1,40.4665508,-79.9531339,The Pop Stop Snack Shop,Lawrenceville,15224,4,3.5,PA,business,1
1178 Steuben St,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",dMLGSQlmo6MhLD18grRENA,"['Bakeries', 'Food', 'Donuts']",Pittsburgh,,1,40.4415878,-80.0478244,Better-Maid Donut,Crafton Heights,15220,34,4.5,PA,business,1
5202 Butler St,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTableService: True', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}""]",bXCWON2Me0o86qvAb-XZPQ,"['Cafes', 'Middle Eastern', 'Breakfast & Brunch', 'Food', 'Vegan', 'Restaurants', 'Bakeries', 'Coffee & Tea']",Pittsburgh,"['Tuesday 8:0-21:0', 'Wednesday 8:0-21:0', 'Thursday 8:0-21:0', 'Friday 8:0-21:0', 'Saturday 9:0-21:0', 'Sunday 9:0-15:0']",1,40.4804486,-79.9541429,B52 Cafe,Lawrenceville,15201,77,4.5,PA,business,1
501 Glenwood Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: False', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",EOmRHPvzR88a5R2j2uD0cQ,"['Coffee & Tea', 'Food', 'Bakeries']",Ambridge,"['Monday 6:0-18:0', 'Tuesday 6:0-18:0', 'Wednesday 6:0-18:0', 'Thursday 6:0-18:0', 'Friday 6:0-18:0', 'Saturday 9:0-14:0']",1,40.585837,-80.224935,Caffe 501,,15003,5,5.0,PA,business,1
528 E Ohio St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",CwtjAViLdvXurW67H-7G3Q,"['Food', 'Bakeries', 'Custom Cakes']",Pittsburgh,"['Monday 6:0-17:0', 'Tuesday 6:0-17:0', 'Wednesday 6:0-17:0', 'Thursday 6:0-17:0', 'Friday 6:0-17:0', 'Saturday 6:0-15:0']",1,40.4538855,-79.999765,Priory Fine Pastries,North Side,15212,32,4.0,PA,business,1
2311 Babcock Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True']",IXt1wLqlpL50aic174gzAA,"['Food', 'Bakeries', 'Desserts', 'Caterers', 'Event Planning & Services', 'Donuts']",Pittsburgh,"['Monday 9:0-17:0', 'Tuesday 9:0-17:0', 'Wednesday 8:30-17:0', 'Thursday 7:30-17:0', 'Friday 7:30-17:0', 'Saturday 8:0-14:0']",1,40.5135370309,-80.001178119,Grandma Rose's Catering & Pastry,West View,15237,4,2.5,PA,business,1
761 Providence Blvd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",Qmx1rFrQHpcYT6XPNgv0zQ,"['Bakeries', 'Desserts', 'Food', 'Cupcakes']",Pittsburgh,"['Monday 9:0-21:0', 'Tuesday 9:0-21:0', 'Wednesday 9:0-21:0', 'Thursday 9:0-21:0', 'Friday 9:0-22:0', 'Saturday 9:0-22:0', 'Sunday 11:0-18:0']",1,40.5699712723,-80.0207471834,Gigi's Cupcakes of Pittsburgh,,15237,47,3.0,PA,business,1
225 Shiloh St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True']",EsxEgEx9ZBzNqrgHf2pDqg,"['Food', 'Bakeries']",Pittsburgh,"['Monday 7:30-18:0', 'Tuesday 7:30-21:0', 'Wednesday 7:30-21:0', 'Thursday 7:30-21:0', 'Friday 7:30-21:0', 'Saturday 7:30-21:0', 'Sunday 9:0-13:0']",1,40.4298266,-80.0070131,Grandview Bakery,Mt. Washington,15211,64,4.5,PA,business,1
1153 Freeport Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids: True', 'HasTV: False', 'OutdoorSeating: False', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True', 'WiFi: no']",mdKSq2mfp1M8tfbjmbyv4Q,"['Bakeries', 'Restaurants', 'Cafes', 'Food']",Pittsburgh,"['Monday 11:0-19:0', 'Tuesday 7:0-19:0', 'Wednesday 7:0-19:0', 'Thursday 7:0-19:0', 'Friday 7:0-19:0', 'Saturday 9:0-17:30']",1,40.4884237134,-79.8805450889,Loafers Bread Co,,15238,6,3.5,PA,business,1
5525 Walnut St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",3TrY8CpsnvnTTYigx2R4yg,"['Desserts', 'Bakeries', 'Food']",Pittsburgh,"['Monday 9:0-16:0', 'Tuesday 7:30-18:0', 'Wednesday 7:30-18:0', 'Thursday 7:30-18:0', 'Friday 7:30-18:0', 'Saturday 7:30-18:0', 'Sunday 9:0-16:0']",1,40.451668,-79.932915,Prantl's Bakery,Shadyside,15232,154,4.0,PA,business,1
543 Lincoln Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",fVFUFPELfVp0j2sS85BA9Q,"['Food', 'Bakeries']",Bellevue,"['Monday 6:30-20:0', 'Tuesday 6:30-20:0', 'Wednesday 6:30-20:0', 'Thursday 6:30-20:0', 'Friday 6:30-20:0', 'Saturday 6:30-19:0']",1,40.4961113,-80.0572126,Lincoln Bakery,Bellevue,15202,27,4.5,PA,business,1
299 Beverly Rd,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",QYt6hKIEkwaBtIaemaZAsQ,"['Food', 'Desserts', 'Bakeries', 'Coffee & Tea']",Pittsburgh,"['Monday 5:30-23:0', 'Tuesday 5:30-23:0', 'Wednesday 5:30-23:0', 'Thursday 5:30-23:0', 'Friday 5:30-0:0', 'Saturday 5:30-0:0', 'Sunday 5:30-23:0']",1,40.3887318,-80.0496339,The Coffee Tree Roasters,,15216,21,3.5,PA,business,1
1502 Lincoln Way,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WiFi: free']",mXNth6j_Y8Sy7F214P1Wtg,"['Coffee & Tea', 'Food', 'Bakeries']",White Oak,"['Monday 8:0-19:0', 'Tuesday 8:0-19:0', 'Wednesday 8:0-19:0', 'Thursday 8:0-19:0', 'Friday 8:0-19:0', 'Saturday 8:0-17:0']",1,40.3493356,-79.8186422,Patti's Pasticceria,,15131,22,4.5,PA,business,1
445 Beaver St,"['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WheelchairAccessible: False']",SLc54id9GKnHXaT_07WbFg,"['Food', 'Bakeries']",Sewickley,"['Monday 5:0-17:0', 'Tuesday 5:0-17:0', 'Wednesday 5:0-17:0', 'Thursday 5:0-17:0', 'Friday 5:0-17:0', 'Saturday 6:0-16:0']",1,40.5405902,-80.1803508,The Ultimate Pastry Shop,Sewickley,15143,13,4.0,PA,business,1
"1 Bny Mellon Ctr, 500 Grant Street","['Alcohol: none', 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsReservations: False', 'RestaurantsTakeOut: True']",0Q0v-eDzWtaySg7cbVi0yg,"['Food', 'Caterers', 'Soup', 'Event Planning & Services', 'Bakeries', 'Cafes', 'Sandwiches', 'Restaurants', 'Comfort Food']",Pittsburgh,"['Monday 6:30-15:0', 'Tuesday 6:30-15:0', 'Wednesday 6:30-15:0', 'Thursday 6:30-15:0', 'Friday 6:30-15:0']",1,40.4396569,-79.9958004,Eadies's Market,Downtown,15219,14,3.5,PA,business,1
,['RestaurantsPriceRange2: 2'],JI4VK3T5mZx0TjJ4rZ1yug,"['Food', 'Bakeries']",Pittsburgh,,0,40.4406248,-79.9958864,Pittsburgh Pie Guy,Downtown,,6,5.0,PA,business,1
620 Brookline Blvd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsBitcoin: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters: True', 'DogsAllowed: False', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",6RbCJLiwNYwS6ab9vzD_zg,"['Food', 'Restaurants', 'Cafes', 'Bakeries', 'Mediterranean']",Pittsburgh,"['Monday 8:0-19:0', 'Tuesday 8:0-19:0', 'Wednesday 8:0-19:0', 'Thursday 8:0-19:0', 'Friday 8:0-19:0', 'Saturday 8:0-19:0', 'Sunday 10:0-16:0']",1,40.3948658,-80.0220857,Pitaland,Brookline,15226,59,4.5,PA,business,1
2004 E Carson St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 3', 'RestaurantsTakeOut: True']",rLNIlmJ71srkLoMFfGMvyQ,"['Chocolatiers & Shops', 'Local Flavor', 'Event Planning & Services', 'Cafes', 'Bakeries', 'Food', 'Specialty Food', 'Cupcakes', 'Restaurants', 'Wedding Planning']",Pittsburgh,"['Monday 8:30-18:0', 'Tuesday 8:30-18:0', 'Wednesday 8:30-18:0', 'Thursday 8:30-18:0', 'Friday 8:30-18:0', 'Saturday 8:30-18:0', 'Sunday 8:30-18:0']",1,40.428345,-79.977958,Le Petit Chocolat & Cafe,South Side,15203,27,5.0,PA,business,1
